file_name,n_tokens
.env.example,387
.gitattributes,10
.pre-commit-config.yaml,223
CNAME,6
Dockerfile,85
LICENSE,237
README.md,2925
_config.yml,128
babyagi.py,5674
classic/ABOUT.md,57
classic/README.md,958
classic/babyagi.py,1677
classic/requirements.txt,22
docker-compose.yml,96
docs/README-ar.md,18692
docs/README-cn.md,10659
docs/README-de.md,2974
docs/README-es.md,2499
docs/README-fa.md,15762
docs/README-fr.md,3650
docs/README-hu.md,5773
docs/README-ja.md,17739
docs/README-ko.md,16119
docs/README-pl.md,3945
docs/README-pt-br.md,2818
docs/README-ro.md,3745
docs/README-ru.md,21681
docs/README-si.md,2785
docs/README-tr.md,4709
docs/README-ua.md,20588
docs/README-zh-tw.md,11056
docs/inspired-projects.md,2241
extensions/__init__.py,2
extensions/argparseext.py,1455
extensions/dotenvext.py,39
extensions/human_mode.py,173
extensions/pinecone_storage.py,721
extensions/ray_objectives.py,322
extensions/ray_tasks.py,497
extensions/requirements.txt,32
node/.env.example,131
node/README.md,1196
node/babyagi.js,2408
node/package-lock.json,2501
node/package.json,266
requirements.txt,71
tools/README.md,65
tools/__init__.py,2
tools/monitor.py,294
tools/results.py,562
tools/results_browser.py,1183
